reaction	GPR	score	normalized_score
R_BUTSO3abcpp	((BHNFPM_00261 and BHNFPM_00262 and BHNFPM_00263) or (BHNFPM_00262 and BHNFPM_00263) or BHNFPM_00262 or BHNFPM_00263 or BHNFPM_01589 or BHNFPM_03336)	250.33333333333334	0.9
R_BUTSO3tex	BHNFPM_00649	67.4	0.3
R_BUTSabc	BHNFPM_03336	59.0	0.2
R_BUTt2rpp	(BHNFPM_04119 or BHNFPM_04233)	423.0	1.6
R_BUTt4pp	BHNFPM_04119	350.0	1.3
R_BUTtex	BHNFPM_00649	67.4	0.3
R_BZALCtex	BHNFPM_00649	67.4	0.3
R_BZALtex	BHNFPM_00649	67.4	0.3
R_BZDH	BHNFPM_01082	397.0	1.5
R_BZt	spontaneous	0.0	0.0
R_BZtex	BHNFPM_00649	67.4	0.3
R_C4HP	BHNFPM_03501	61.6	0.2
R_CA2abc1	BHNFPM_01973	1211.0	4.6
R_CA2tex	BHNFPM_00649	67.4	0.3
R_CARNabcpp	(BHNFPM_01492 and BHNFPM_01493 and BHNFPM_03761)	173.6	0.7
R_CAT	(BHNFPM_01461 or BHNFPM_02392 or BHNFPM_02747 or BHNFPM_03429)	983.0	3.7
R_CAt4	BHNFPM_00695	504.0	1.9
R_CBMD	spontaneous	0.0	0.0
R_CBPS	((BHNFPM_00447 and BHNFPM_00448) or (BHNFPM_01026 and BHNFPM_01027) or (BHNFPM_01966 and BHNFPM_01967) or BHNFPM_01027)	1082.0	4.1
R_CBPS_1	BHNFPM_01967	761.5	2.9
R_CD2abc1	(BHNFPM_00682 or BHNFPM_01197)	709.0	2.7
R_CD2abcpp	BHNFPM_01197	395.0	1.5
R_CD2t3pp	(BHNFPM_01297 or BHNFPM_03774)	133.0	0.5
R_CD2t4	BHNFPM_03641	410.0	1.5
R_CD2t4pp	BHNFPM_01789	71.0	0.3
R_CD2t5	BHNFPM_01789	92.0	0.3
R_CD2t6	BHNFPM_01789	92.0	0.3
R_CD2tex	BHNFPM_00649	67.4	0.3
R_CDGUNPD	(BHNFPM_00008 or BHNFPM_00292 or BHNFPM_02255 or BHNFPM_02455 or BHNFPM_03492 or BHNFPM_03876)	402.0	1.5
R_CDPMEK	BHNFPM_00065	439.0	1.7
R_CDPPH	BHNFPM_00294	119.0	0.4
R_CEL6abc	BHNFPM_00387	11.559999999999999	0.0
R_CELBpts	((BHNFPM_01824 and BHNFPM_01825 and BHNFPM_03900) or (BHNFPM_01824 and BHNFPM_01825 and BHNFPM_03901 and BHNFPM_03902) or (BHNFPM_01824 and BHNFPM_01825) or (BHNFPM_03900 and BHNFPM_03902) or BHNFPM_00882 or BHNFPM_01824)	321.0	1.2
R_CELBt2	BHNFPM_03952	167.0	0.6
R_CELLBabc	BHNFPM_00387	11.559999999999999	0.0
R_CELLBpts_2	((BHNFPM_01417 and BHNFPM_01418) or BHNFPM_03900 or BHNFPM_03902)	178.66666666666666	0.7
R_CELabc	BHNFPM_00387	11.559999999999999	0.0
R_CGLYabcpp	((BHNFPM_01489 and BHNFPM_01491 and BHNFPM_01492 and BHNFPM_03761) or (BHNFPM_01491 and BHNFPM_01492 and BHNFPM_03761 and BHNFPM_03762) or (BHNFPM_01491 and BHNFPM_01492 and BHNFPM_03761 and BHNFPM_03967) or (BHNFPM_01491 and BHNFPM_01492 and BHNFPM_03761) or (BHNFPM_01492 and BHNFPM_01493 and BHNFPM_03761))	258.8	1.0
R_CHLabc	((BHNFPM_00536 and BHNFPM_01306) or BHNFPM_00536 or BHNFPM_03617 or BHNFPM_03618)	253.5	1.0
R_CHLt3pp	BHNFPM_03576	75.5	0.3
R_CHOLD	BHNFPM_00795	193.0	0.7
R_CHOLSabc_1	(BHNFPM_00536 or BHNFPM_03617)	76.25	0.3
R_CHORM	(BHNFPM_02708 or BHNFPM_03094 or BHNFPM_03269)	553.0	2.1
R_CHORS	BHNFPM_02710	600.0	2.3
R_CHTBSptspp	BHNFPM_00882	10.4	0.0
R_CITDAPPS	BHNFPM_04297	173.0	0.7
R_CITt14	BHNFPM_03999	442.0	1.7
R_CITt4pp_1	(BHNFPM_01292 and BHNFPM_01293 and BHNFPM_01294)	201.33333333333334	0.8
R_CITtupp	(BHNFPM_01292 and BHNFPM_04320)	191.0	0.7
R_CLtex	BHNFPM_00649	67.4	0.3
R_CMCBTFabcpp	BHNFPM_03709	27.099999999999998	0.1
R_CMCBTFexs	spontaneous	0.0	0.0
R_CMLDC	BHNFPM_04273	110.0	0.4
R_CMPDAi	BHNFPM_03004	265.0	1.0
R_CO23OC	BHNFPM_03544	196.0	0.7
R_CO2t	spontaneous	0.0	0.0
R_CO2tex	(BHNFPM_00649 or spontaneous)	67.4	0.3
R_CO2tpp	spontaneous	0.0	0.0
R_COB1NDAAT1	BHNFPM_01499	107.0	0.4
R_COBALT2abcpp	(BHNFPM_00626 or BHNFPM_01197)	395.0	1.5
R_COBALT2t3pp	(BHNFPM_01297 or BHNFPM_03774)	133.0	0.5
R_COBALT2tex	BHNFPM_00649	67.4	0.3
R_COBALTt4pp	BHNFPM_01789	71.0	0.3
R_COBALTt5	BHNFPM_03774	119.0	0.4
R_COabc	((BHNFPM_00186 and BHNFPM_00187 and BHNFPM_00188) or BHNFPM_03644 or BHNFPM_03709 or BHNFPM_03967)	150.6	0.6
R_COt_1	spontaneous	0.0	0.0
R_CPGNexs	spontaneous	0.0	0.0
R_CPPPGO	(BHNFPM_01620 or BHNFPM_02987 or BHNFPM_02994 or BHNFPM_03315)	690.0	2.6
R_CRNabc	(BHNFPM_00536 or BHNFPM_03617)	76.25	0.3
R_CRO4abcpp	((BHNFPM_00319 and BHNFPM_00680) or (BHNFPM_00677 and BHNFPM_00678 and BHNFPM_00679 and BHNFPM_00680) or BHNFPM_00319)	394.25	1.5
R_CRO4t3	(BHNFPM_03758 or BHNFPM_03759)	165.0	0.6
R_CRO4t3pp	BHNFPM_02208	105.0	0.4
R_CRO4tex	BHNFPM_00649	67.4	0.3
R_CS	(BHNFPM_02275 or BHNFPM_03210)	579.0	2.2
R_CTBTabc	BHNFPM_03617	335.0	1.3
R_CTECOAI6	BHNFPM_01622	127.0	0.5
R_CTECOAI7	BHNFPM_01622	127.0	0.5
R_CTECOAI8	BHNFPM_01622	127.0	0.5
R_CTPS1	BHNFPM_04185	896.0	3.4
R_CTPS2	(BHNFPM_00662 or BHNFPM_04185)	896.0	3.4
R_CU2abcpp	BHNFPM_01197	395.0	1.5
R_CU2tex	BHNFPM_00649	67.4	0.3
R_CUtex	BHNFPM_00649	67.4	0.3
R_CYANST	BHNFPM_02650	196.0	0.7
R_CYANt2pp	BHNFPM_04349	210.0	0.8
R_CYS	BHNFPM_02744	44.7	0.2
R_CYSDS	(BHNFPM_03254 or BHNFPM_03439 or BHNFPM_03782 or BHNFPM_04242)	371.0	1.4
R_CYSGL	BHNFPM_03782	124.0	0.5
R_CYSItpp	BHNFPM_04389	129.0	0.5
R_CYSK2_I	BHNFPM_01012	230.0	0.9
R_CYSS	(BHNFPM_03297 or BHNFPM_03781)	513.0	1.9
R_CYSS_2	BHNFPM_00101	509.0	1.9
R_CYSTGL	(BHNFPM_03027 or BHNFPM_03782)	556.0	2.1
R_CYSTL	(BHNFPM_02189 or BHNFPM_03439 or BHNFPM_03782 or BHNFPM_04242)	513.0	1.9
R_CYSTS	(BHNFPM_02744 or BHNFPM_03028)	390.0	1.5
R_CYST_II	BHNFPM_01012	230.0	0.9
R_CYSabc	(BHNFPM_02631 or BHNFPM_02821 or BHNFPM_03138 or BHNFPM_03709)	301.0	1.1
R_CYSabc2pp	(BHNFPM_01558 and BHNFPM_01559)	262.5	1.0
R_CYSabcpp	BHNFPM_03139	43.666666666666664	0.2
R_CYStpp	BHNFPM_03820	54.3	0.2
R_CYTBD2pp	BHNFPM_01558	68.75	0.3
R_CYTB_B2	((BHNFPM_01860 and BHNFPM_01861) or (BHNFPM_03348 and BHNFPM_03349) or BHNFPM_01558 or BHNFPM_01902)	527.5	2.0
R_CYTB_B3	(BHNFPM_03770 and BHNFPM_03771 and BHNFPM_03772 and BHNFPM_03773)	407.75	1.5
R_CYTCAA3pp	(BHNFPM_02656 and BHNFPM_02657)	32.175	0.1
R_CYTD	(BHNFPM_00220 or BHNFPM_00753 or BHNFPM_02970)	210.0	0.8
R_CYTDH	(BHNFPM_00572 or BHNFPM_01772)	176.0	0.7
R_CYTDK1	BHNFPM_03035	362.0	1.4
R_CYTDK2	(BHNFPM_02397 or BHNFPM_03035)	362.0	1.4
R_CYTDt2	BHNFPM_01784	462.0	1.7
R_CYTK1	BHNFPM_02731	271.0	1.0
R_CYTK2	BHNFPM_02731	271.0	1.0
R_CYTOM	BHNFPM_00956	100.0	0.4
R_Cobalt2abcppI	BHNFPM_00626	14.566666666666668	0.1
R_Cotpp	spontaneous	0.0	0.0
R_Cut1	((BHNFPM_01209 and BHNFPM_01210) or BHNFPM_01209)	965.0	3.6
R_DAAOP	BHNFPM_02288	370.0	1.4
R_DABAAT2	BHNFPM_04299	561.0	2.1
R_DADK	BHNFPM_00177	343.0	1.3
R_DADNK	BHNFPM_00026	316.0	1.2
R_DADNK_1	BHNFPM_00026	308.0	1.2
R_DAGK	BHNFPM_00464	380.0	1.4
R_DAGK160	BHNFPM_03294	100.0	0.4
R_DAGK_BS	BHNFPM_02971	103.0	0.4
R_DALAALAD	BHNFPM_02380	214.0	0.8
R_DALADALAD	BHNFPM_02380	214.0	0.8
R_DALAGLYD	BHNFPM_02380	214.0	0.8
R_DALALEUD	BHNFPM_02380	214.0	0.8
R_DALAOX	BHNFPM_02428	201.0	0.8
R_DALAt2pp	(BHNFPM_00872 or BHNFPM_04405)	588.0	2.2
R_DALAt2r	(BHNFPM_00491 or BHNFPM_00872 or BHNFPM_01371 or BHNFPM_02357 or BHNFPM_04405)	664.0	2.5
R_DAPDA	BHNFPM_03868	356.0	1.3
R_DAPDC	(BHNFPM_00770 or BHNFPM_00772 or BHNFPM_02771)	611.0	2.3
R_DAPE	BHNFPM_02559	136.0	0.5
R_DAPabcpp	BHNFPM_03139	130.0	0.5
R_DARBt3ipp	BHNFPM_00239	167.0	0.6
R_DASYN120	(BHNFPM_02436 or BHNFPM_03223)	198.0	0.7
R_DASYN140	(BHNFPM_02436 or BHNFPM_03223)	198.0	0.7
R_DASYN141	BHNFPM_02436	198.0	0.7
R_DASYN160	(BHNFPM_02436 or BHNFPM_03223)	198.0	0.7
R_DASYN161	(BHNFPM_02436 or BHNFPM_03223)	198.0	0.7
R_DASYN180	(BHNFPM_02436 or BHNFPM_03223)	198.0	0.7
R_DASYN181	(BHNFPM_02436 or BHNFPM_03223)	198.0	0.7
R_DATPHs	spontaneous	0.0	0.0
R_DB4PS	BHNFPM_02563	535.0	2.0
R_DCMPDA	BHNFPM_03004	265.0	1.0
R_DCYTD	(BHNFPM_00220 or BHNFPM_02970)	210.0	0.8
R_DCYTt2	BHNFPM_01784	462.0	1.7
R_DDGLCNt2r	BHNFPM_04397	264.0	1.0
R_DDGLCNt2rpp	BHNFPM_04397	243.0	0.9
R_DDGLK	(BHNFPM_00266 or BHNFPM_02263)	240.0	0.9
R_DDPA	BHNFPM_03269	553.0	2.1
R_DDPGA	(BHNFPM_00265 or BHNFPM_02264)	245.0	0.9
R_DGK1	BHNFPM_01976	316.0	1.2
R_DGNSK	BHNFPM_00027	229.0	0.9
R_DGNSK_1	BHNFPM_00026	308.0	1.2
R_DGUNC	(BHNFPM_00292 or BHNFPM_03122 or BHNFPM_03206 or BHNFPM_03255 or BHNFPM_03713 or BHNFPM_03718 or BHNFPM_03876 or BHNFPM_04178 or BHNFPM_04395)	402.0	1.5
R_DHAD1	BHNFPM_00552	756.0	2.9
R_DHAD2	BHNFPM_00552	756.0	2.9
R_DHAD3	BHNFPM_00552	736.0	2.8
R_DHAK	(BHNFPM_00921 or BHNFPM_03660)	284.0	1.1
R_DHAPT	((BHNFPM_00882 and BHNFPM_00921) or BHNFPM_00882 or BHNFPM_00921 or BHNFPM_01824)	89.33333333333333	0.3
R_DHBD	(BHNFPM_02421 or BHNFPM_04400)	192.0	0.7
R_DHBSZ3FEexs	spontaneous	0.0	0.0
R_DHDPRy	BHNFPM_02692	345.0	1.3
R_DHDPS	BHNFPM_02085	394.0	1.5
R_DHFR	(BHNFPM_02097 or BHNFPM_02624)	181.0	0.7
R_DHFS	BHNFPM_03123	397.0	1.5
R_DHGLYH	spontaneous	0.0	0.0
R_DHMPTRx	BHNFPM_02389	77.8	0.3
R_DHNCOAS	BHNFPM_03356	457.0	1.7
R_DHNCOAT	(BHNFPM_02348 or BHNFPM_03458)	156.0	0.6
R_DHNPA_1	BHNFPM_00106	162.0	0.6
R_DHORDi	(BHNFPM_01968 and BHNFPM_01969)	365.0	1.4
R_DHORTS	(BHNFPM_01965 or BHNFPM_03961)	594.0	2.2
R_DHPACCOAHIT	(BHNFPM_00525 and BHNFPM_00528)	210.66666666666666	0.8
R_DHPPDA	BHNFPM_02565	374.0	1.4
R_DHPS	BHNFPM_00105	305.0	1.2
R_DHPS2	BHNFPM_00105	305.0	1.2
R_DHPTDCs	spontaneous	0.0	0.0
R_DHPTDCs2	spontaneous	0.0	0.0
R_DHQS	BHNFPM_02709	303.0	1.1
R_DHQTi	(BHNFPM_01711 or BHNFPM_02865)	948.0	3.6
R_DINSK	BHNFPM_00027	229.0	0.9
R_DIPEPabc1	((BHNFPM_02289 and BHNFPM_02290 and BHNFPM_02291 and BHNFPM_02292) or BHNFPM_03285)	536.25	2.0
R_DIPEPabc10	((BHNFPM_02289 and BHNFPM_02290 and BHNFPM_02291 and BHNFPM_02292) or BHNFPM_03285)	536.25	2.0
R_DIPEPabc12	((BHNFPM_02289 and BHNFPM_02290 and BHNFPM_02291 and BHNFPM_02292) or BHNFPM_03285)	536.25	2.0
R_DIPEPabc13	((BHNFPM_02289 and BHNFPM_02290 and BHNFPM_02291 and BHNFPM_02292) or BHNFPM_03285)	536.25	2.0
R_DIPEPabc14	((BHNFPM_02289 and BHNFPM_02290 and BHNFPM_02291 and BHNFPM_02292) or BHNFPM_03285)	536.25	2.0
R_DIPEPabc15	((BHNFPM_02289 and BHNFPM_02290 and BHNFPM_02291 and BHNFPM_02292) or BHNFPM_03285)	536.25	2.0
R_DIPEPabc3	((BHNFPM_02289 and BHNFPM_02290 and BHNFPM_02291 and BHNFPM_02292) or BHNFPM_03285)	536.25	2.0
R_DIPEPabc8	((BHNFPM_02289 and BHNFPM_02290 and BHNFPM_02291 and BHNFPM_02292) or BHNFPM_03285)	536.25	2.0
R_DKDID	(BHNFPM_00280 and BHNFPM_04163)	452.0	1.7
R_DKMD2K	BHNFPM_01811	242.0	0.9
R_DLYSabcpp	BHNFPM_02631	21.275	0.1
R_DM1PE	BHNFPM_01808	459.0	1.7
R_DMATT	BHNFPM_02846	317.0	1.2
R_DMPPS	(BHNFPM_02729 or BHNFPM_02954)	495.0	1.9
R_DMSO2abcpp	(BHNFPM_00261 and BHNFPM_00262 and BHNFPM_00263)	250.33333333333334	0.9
R_DNADDP	BHNFPM_02955	52.4	0.2
R_DNMPPA	(BHNFPM_01260 or BHNFPM_02751)	284.0	1.1
R_DNTAep	BHNFPM_01789	90.66666666666667	0.3
R_DNTPPA	(BHNFPM_01143 or BHNFPM_01260 or BHNFPM_02626 or BHNFPM_02751 or BHNFPM_03577)	284.0	1.1
R_DPCOAK	BHNFPM_03199	223.0	0.8
R_DPR	(BHNFPM_01929 or BHNFPM_02869)	167.0	0.6
R_DRBK	BHNFPM_00509	380.0	1.4
R_DRIBabc	(BHNFPM_00510 and BHNFPM_00511 and BHNFPM_00512 and BHNFPM_00513)	437.5	1.7
R_DRPA	BHNFPM_02985	280.0	1.1
R_DSERDHr	BHNFPM_04011	118.0	0.4
R_DSERt2	(BHNFPM_00872 or BHNFPM_01371 or BHNFPM_04405)	608.0	2.3
R_DSERt2pp	(BHNFPM_00872 or BHNFPM_04405)	588.0	2.2
R_DTMPK	BHNFPM_00048	238.0	0.9
R_DURIK1	BHNFPM_04170	280.0	1.1
R_DURIPP	BHNFPM_02780	623.0	2.4
R_DURIPP_1	BHNFPM_02780	580.0	2.2
R_DUTPDP	BHNFPM_00763	52.4	0.2
R_DXPRIi	BHNFPM_02063	495.0	1.9
R_DXPS	BHNFPM_02845	1033.0	3.9
R_EAR100x	BHNFPM_00533	192.0	0.7
R_EAR120x	BHNFPM_00533	192.0	0.7
R_EAR140x	BHNFPM_00533	192.0	0.7
R_EAR141x	BHNFPM_00533	192.0	0.7
R_EAR80x	BHNFPM_00533	192.0	0.7
R_ECOAH1	(BHNFPM_00524 or BHNFPM_01622)	242.0	0.9
R_ECOAH12	(BHNFPM_00524 or BHNFPM_00525)	232.0	0.9
R_ECOAH14	BHNFPM_00524	242.0	0.9
R_ECOAH15	BHNFPM_00524	242.0	0.9
R_ECOAH16	BHNFPM_00524	242.0	0.9
R_ECOAH17	BHNFPM_00524	242.0	0.9
R_ECOAH18	BHNFPM_00524	242.0	0.9
R_ECOAH19	BHNFPM_00524	242.0	0.9
R_ECOAH1_1	(BHNFPM_01656 or BHNFPM_03168)	278.0	1.0
R_ECOAH2	(BHNFPM_00524 or BHNFPM_01622 or BHNFPM_01656 or BHNFPM_03168)	278.0	1.0
R_ECOAH20	BHNFPM_00524	242.0	0.9
R_ECOAH21	BHNFPM_00524	242.0	0.9
R_ECOAH22	BHNFPM_00524	242.0	0.9
R_ECOAH23	BHNFPM_00524	242.0	0.9
R_ECOAH24	BHNFPM_00524	242.0	0.9
R_ECOAH25	BHNFPM_00524	242.0	0.9
R_ECOAH26	BHNFPM_00524	242.0	0.9
R_ECOAH27	BHNFPM_00524	242.0	0.9
R_ECOAH28	BHNFPM_00524	242.0	0.9
R_ECOAH29	BHNFPM_00524	242.0	0.9
R_ECOAH2c	(BHNFPM_01656 or BHNFPM_03168)	278.0	1.0
R_ECOAH3	(BHNFPM_00524 or BHNFPM_01622 or BHNFPM_01656 or BHNFPM_03168)	278.0	1.0
R_ECOAH30	BHNFPM_00524	242.0	0.9
R_ECOAH31	BHNFPM_00524	242.0	0.9
R_ECOAH32	BHNFPM_00524	242.0	0.9
R_ECOAH33	BHNFPM_00524	242.0	0.9
R_ECOAH34	BHNFPM_00524	242.0	0.9
R_ECOAH35	BHNFPM_00524	242.0	0.9
R_ECOAH36	BHNFPM_00524	242.0	0.9
R_ECOAH37	BHNFPM_00524	242.0	0.9
R_ECOAH38	BHNFPM_00524	242.0	0.9
R_ECOAH4	(BHNFPM_00524 or BHNFPM_01622 or BHNFPM_01656 or BHNFPM_03168)	278.0	1.0
R_ECOAH5	(BHNFPM_00524 or BHNFPM_01622)	242.0	0.9
R_ECOAH5_1	(BHNFPM_01656 or BHNFPM_03168)	278.0	1.0
R_ECOAH6	(BHNFPM_00524 or BHNFPM_01622 or BHNFPM_01656 or BHNFPM_03168)	278.0	1.0
R_ECOAH7	(BHNFPM_00524 or BHNFPM_01622 or BHNFPM_01656 or BHNFPM_03168)	278.0	1.0
R_ECOAH8	(BHNFPM_00524 or BHNFPM_01622)	242.0	0.9
R_ECOAH9ir	(BHNFPM_00524 or BHNFPM_00525 or BHNFPM_01656 or BHNFPM_03168)	278.0	1.0
R_EDA	(BHNFPM_00265 or BHNFPM_02264)	245.0	0.9
R_ENO	BHNFPM_03655	730.0	2.8
R_ETHSO3abcpp	((BHNFPM_00261 and BHNFPM_00262 and BHNFPM_00263) or (BHNFPM_00262 and BHNFPM_00263) or BHNFPM_00262 or BHNFPM_00263 or BHNFPM_01589 or BHNFPM_03336)	250.33333333333334	0.9
R_ETHSO3tex	BHNFPM_00649	67.4	0.3
R_ETHSabc	BHNFPM_03336	59.0	0.2
R_ETOHtex	BHNFPM_00649	67.4	0.3
R_ETOHtrpp	spontaneous	0.0	0.0
R_F1PP	(BHNFPM_01566 or BHNFPM_03398)	156.0	0.6
R_F6PP	(BHNFPM_00806 or BHNFPM_01471 or BHNFPM_01566 or BHNFPM_03398)	156.0	0.6
R_FA80ACPHi	BHNFPM_02873	357.0	1.3
R_FACOAE140	BHNFPM_00636	98.2	0.4
R_FACOAE160	BHNFPM_00636	98.2	0.4
R_FACOAE161	BHNFPM_00636	98.2	0.4
R_FACOAL100t2pp	BHNFPM_02506	682.0	2.6
R_FACOAL120t2pp	BHNFPM_02506	682.0	2.6
R_FACOAL140	(BHNFPM_01655 or BHNFPM_02506 or BHNFPM_03170 or BHNFPM_04383)	740.0	2.8
R_FACOAL140_ISO	(BHNFPM_01655 or BHNFPM_02506 or BHNFPM_03170 or BHNFPM_04383)	740.0	2.8
R_FACOAL140t2pp	BHNFPM_02506	682.0	2.6
R_FACOAL141t2pp	BHNFPM_02506	682.0	2.6
R_FACOAL150_ISO	(BHNFPM_01655 or BHNFPM_02506 or BHNFPM_03170 or BHNFPM_04383)	740.0	2.8
R_FACOAL150_anteiso	(BHNFPM_01655 or BHNFPM_02506 or BHNFPM_03170 or BHNFPM_04383)	740.0	2.8
R_FACOAL160	(BHNFPM_01655 or BHNFPM_02506 or BHNFPM_03170 or BHNFPM_04383)	740.0	2.8
R_FACOAL160_ISO	(BHNFPM_01655 or BHNFPM_02506 or BHNFPM_03170 or BHNFPM_04383)	740.0	2.8
R_FACOAL160t2pp	BHNFPM_02506	682.0	2.6
R_FACOAL161	(BHNFPM_01655 or BHNFPM_02506 or BHNFPM_03170 or BHNFPM_04383)	740.0	2.8
R_FACOAL161t2pp	BHNFPM_02506	682.0	2.6
R_FACOAL170_ISO	(BHNFPM_01655 or BHNFPM_02506 or BHNFPM_03170 or BHNFPM_04383)	740.0	2.8
R_FACOAL170_anteiso	(BHNFPM_01655 or BHNFPM_02506 or BHNFPM_03170 or BHNFPM_04383)	740.0	2.8
R_FACOAL180_2	(BHNFPM_01655 or BHNFPM_02506 or BHNFPM_03170 or BHNFPM_04383)	740.0	2.8
R_FACOAL180t2pp	BHNFPM_02506	682.0	2.6
R_FACOAL181	(BHNFPM_01655 or BHNFPM_02506 or BHNFPM_03170 or BHNFPM_04383)	740.0	2.8
R_FACOAL181t2pp	BHNFPM_02506	682.0	2.6
R_FACOAL60t2pp	BHNFPM_02506	682.0	2.6
R_FACOAL80t2pp	BHNFPM_02506	682.0	2.6
R_FADH2D	(BHNFPM_00374 or BHNFPM_03613)	20.025	0.1
R_FADMQOR	((BHNFPM_03166 and BHNFPM_04194) or BHNFPM_03167)	211.33333333333334	0.8
R_FADt	BHNFPM_01691	130.0	0.5
R_FALDep	BHNFPM_01789	90.66666666666667	0.3
R_FALDtpp	spontaneous	0.0	0.0
R_FALGTHLs	spontaneous	0.0	0.0
R_FAS140	BHNFPM_02655	47.0	0.2
R_FBA	BHNFPM_04177	491.0	1.9
R_FBA2	BHNFPM_04177	491.0	1.9
R_FBA3	BHNFPM_04177	491.0	1.9
R_FBACS	BHNFPM_01025	247.25	0.9
R_FBP	(BHNFPM_03398 or BHNFPM_04174)	321.0	1.2
R_FCLT_2	BHNFPM_01648	515.0	1.9
R_FDH	BHNFPM_00526	376.0	1.4
R_FE2Gabcpp	(BHNFPM_02723 or BHNFPM_04457)	68.6	0.3
R_FE2abc	(BHNFPM_00654 or BHNFPM_01224 or BHNFPM_01444 or BHNFPM_04457)	300.0	1.1
R_FE2abcpp	(BHNFPM_03095 or BHNFPM_04457)	45.1	0.2
R_FE2t	(BHNFPM_02013 or BHNFPM_03393 or BHNFPM_03774)	119.0	0.4
R_FE2t3pp	(BHNFPM_01297 or BHNFPM_03774)	132.0	0.5
R_FE2t4pp	BHNFPM_01789	71.0	0.3
R_FE2tex	(BHNFPM_00649 or BHNFPM_04457)	67.4	0.3
R_FE3DCIT2abcpp	BHNFPM_03709	27.099999999999998	0.1
R_FE3DCITCH	spontaneous	0.0	0.0
R_FE3DCITabcpp	BHNFPM_03709	27.099999999999998	0.1
R_FE3DCITexs	spontaneous	0.0	0.0
R_FE3Gabcpp	BHNFPM_02723	68.6	0.3
R_FE3PYOVDL2	spontaneous	0.0	0.0
R_FE3abc	((BHNFPM_00575 and BHNFPM_00575) or BHNFPM_03709)	264.5	1.0
R_FE3abcpp	((BHNFPM_00784 and BHNFPM_00785) or (BHNFPM_00786 and BHNFPM_00915 and BHNFPM_00917) or (BHNFPM_00786 and BHNFPM_02631) or BHNFPM_00917)	276.6666666666667	1.0
R_FE3t	BHNFPM_04406	21.833333333333332	0.1
R_FE3tex	BHNFPM_00649	67.4	0.3
R_FECPP3O	BHNFPM_04213	323.0	1.2
R_FEDCabc	((BHNFPM_03526 and BHNFPM_03527 and BHNFPM_03528) or BHNFPM_03573)	369.0	1.4
R_FEENTERexs	spontaneous	0.0	0.0
R_FEOXAMabcpp	BHNFPM_03709	27.099999999999998	0.1
R_FEOXAMexs	spontaneous	0.0	0.0
R_FESD1s	spontaneous	0.0	0.0
R_FESD2s	spontaneous	0.0	0.0
R_FFSD	BHNFPM_01342	488.0	1.8
R_FFSD1r	BHNFPM_04303	440.0	1.7
R_FGLU_1	BHNFPM_04091	315.0	1.2
R_FLVR	BHNFPM_00850	261.0	1.0
R_FMNAT	BHNFPM_02075	335.0	1.3
R_FMNRx	BHNFPM_03833	299.0	1.1
R_FMNRx2	(BHNFPM_01577 or BHNFPM_03538)	62.0	0.2
R_FMNRy	BHNFPM_01536	320.0	1.2
R_FMNt	BHNFPM_01691	130.0	0.5
R_FOLD3	BHNFPM_00105	339.0	1.3
R_FOLR2	BHNFPM_02624	181.0	0.7
R_FOMETRi	BHNFPM_02920	85.9	0.3
R_FORtex	BHNFPM_00649	67.4	0.3
R_FRD2	BHNFPM_03304	10.5	0.0
R_FRD3	BHNFPM_03304	10.5	0.0
R_FRDx	BHNFPM_03304	45.4	0.2
R_FRUK	BHNFPM_03395	314.0	1.2
R_FRUpts	((BHNFPM_00380 and BHNFPM_00382) or (BHNFPM_01824 and BHNFPM_01825 and BHNFPM_03394) or (BHNFPM_01824 and BHNFPM_01825) or BHNFPM_00380 or BHNFPM_01824 or BHNFPM_03394)	694.0	2.6
R_FRUpts2	BHNFPM_00380	30.433333333333334	0.1
R_FRUpts2pp	BHNFPM_00882	12.6	0.0
R_FRUptspp	((BHNFPM_00382 and BHNFPM_00882) or BHNFPM_00882)	53.8	0.2
R_FTHFCL	BHNFPM_02920	92.4	0.3
R_FTHFLi	BHNFPM_02635	725.0	2.7
R_FUM	(BHNFPM_00706 or BHNFPM_01605)	634.0	2.4
R_FUMAC	BHNFPM_00548	101.0	0.4
R_FUMt2_2pp	BHNFPM_03756	182.0	0.7
R_G1PACT	BHNFPM_00069	605.0	2.3
R_G1PP	(BHNFPM_01175 or BHNFPM_03398)	156.0	0.6
R_G1SAT	(BHNFPM_01495 or BHNFPM_03130)	744.0	2.8
R_G3PAT120	BHNFPM_04357	20.0	0.1
R_G3PAT141	BHNFPM_04357	20.0	0.1
R_G3PAT160	BHNFPM_04357	20.0	0.1
R_G3PAT161	BHNFPM_04357	20.0	0.1
R_G3PAT180	BHNFPM_04357	20.0	0.1
R_G3PAT181	BHNFPM_04357	20.0	0.1
R_G3PCT	BHNFPM_04080	204.0	0.8
R_G3PCabcpp	BHNFPM_03856	41.75	0.2
R_G3PD1ir	BHNFPM_02722	454.0	1.7
R_G3PD4	BHNFPM_02325	739.0	2.8
R_G3PEabcpp	BHNFPM_03856	41.75	0.2
R_G3PGabcpp	BHNFPM_03856	41.75	0.2
R_G3PIabcpp	BHNFPM_03856	41.75	0.2
R_G3PSabcpp	BHNFPM_03856	41.75	0.2
R_G3PT	(BHNFPM_00806 or BHNFPM_03846)	122.0	0.5
R_G5SADs	spontaneous	0.0	0.0
R_G5SD	BHNFPM_02466	427.0	1.6
R_G6PBDH	BHNFPM_02811	626.0	2.4
